State,Namne,location,Latitude,Longitude
ANDAMAN AND NICOBAR ISLANDS,Anthropological Museum,Port Blair,11.6234,92.7265
ANDAMAN AND NICOBAR ISLANDS,Samudrika (Naval Marine Museum),Delanipur,11.6500,92.7333
ANDHRA PRADESH,Bhagwan Mahavir Government Museum,Kadapa,14.4674,78.8242
ANDHRA PRADESH,INS Kursura,Visakhapatnam,17.6868,83.2185
ANDHRA PRADESH,Victoria Jubilee Museum,Vijayawada,16.5062,80.6480
ANDHRA PRADESH,Visakha Museum (Visakhapatnam Municipal Corporation Museum),Visakhapatnam,17.6868,83.2185
ANDHRA PRADESH,Salar Jung Museum,Darushifa,17.3616,78.4867
ANDHRA PRADESH,Birla Science Museum,Hyderabad,17.3850,93.6053
ANDHRA PRADESH,Nizam Museum,Hyderabad,,17.3850,93.6053
ANDHRA PRADESH,AP State Archaeology Museum (Hyderabad Museum),Hyderabad,17.3850,93.6053
ARUNACHAL PRADESH,Jawaharlal Nehru Museum,Itanagar,27.0844,93.6053
ASSAM,Assam State Museum,Guwahati,26.1445,91.7362
ASSAM,Mayong Central Museum and Emporium,Mayong,26.2511,92.1606
ASSAM,Srimanta Sankaradeva Kalakshetra,Guwahati,26.1445,91.7362
BIHAR,Patna Museum,Patna,25.5941,85.1376
BIHAR,Bihar Museum,Patna,25.5941,85.1376
BIHAR,Gandhi Smriti Sangrahalaya,Bhitiharwa,26.9275,84.0509
BIHAR,Gaya Museum,Gaya,24.7914,85.0002
BIHAR,Maharaja Lakshmeshwar Singh Museum,Darbhanga,26.1527,85.9010
BIHAR,Chandra Shekhar Singh Museum,Jamui,24.9200,86.2200
BIHAR,Srikrishna Science Centre,Patna,25.5941,85.1376
BIHAR,Bihar Police Museum,Patna,25.5941,85.1376
BIHAR,Rajendra Smriti Sangrahalaya (Rajendra Memorial Museum),Patna,25.5941,85.1376
CHANDIGARH,Government Museum and Art Gallery,Chandigarh,30.7333,76.7794
CHANDIGARH,International Dolls Museum,Chandigarh,30.7333,76.7794
CHANDIGARH,Museum of Evolution of Life,Chandigarh,30.7333,76.7794
