FESTIVAL,Location (State),Month,Description,image_path
Navreh,Kashmir,March,"<b>Navreh ayi, nayi roshni lai, Har dil khush rahe, ghar mein sukh suhai.</b><br>Kashmiri Pandit New Year observed with rituals and prayers to Goddess Sharika; unique to Kashmiri Pandit community.","https://staticimg.amarujala.com/assets/images/2022/04/01/navreh-festival-2022_1648808263.jpeg"
Mehndi Festival,Kashmir,April,"<b>Mehndi lagai hatho, rangin ho rang birangi, Khushiyan laaye saath mein, ban jaaye din rangangi.</b><br>Traditional spring festival involving henna application and folk songs, unique to Kashmiri Pandit culture.","https://ramkumarmehandi.com/wp-content/uploads/2022/09/20-most-beautiful-mehndi-designs-for-festivals.jpg"
Harnai Festival,Kashmir,January,"<b>Thand vich gungunahat, Harnai di mehak, Gayan te nachan naal, jindagi vich rang chad.</b><br>Winter folk festival specific to Kashmir celebrating local culture through traditional music and dances.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTv-HvOJIqLIGY9YKz2kxhcGapTDSOz4tzVFQ&s"
Urs Festival,Kashmir,September,"<b>Rooh di awaaz hai, Urs di raat hai, Qawwali di mehfil vich, sab nu baat hai.</b><br>Sufi saint commemorative festival held at shrines like Hazratbal, distinct to Kashmir's Sufi heritage.","https://static2.tripoto.com/media/filter/tst/img/464126/TripDocument/1535955030_1056369_dargah_sharif_ajmer.jpg.webp"
Mela Sufi,Kashmir,October,"<b>Sufi di mehfil sajdi, dilaan nu bhaandi, Mehfil vich jashan manaiye, ishq di chaandi.</b><br>Sufi shrine festival unique to Kashmir involving devotional qawwali and community feasts.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_rWs4TLXw-z6ZFcLgqIjPR6lW8Agnm74nFw&s"
Lal Ded Mela,Kashmir,October,"<b>Lal Ded di vani vich, ruh di shanti mile, Kavita di roshni naal, dard bhi khil jaye.</b><br>Cultural-spiritual festival honoring Lal Ded, the mystic poetess, celebrated only in Kashmir.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_i3IEhZspEOMFvg8S3jC5JC733Q2AZtO3MA&s"
Amarnath Yatra,PAN India,July,"<b>Amarnath di yatra vich, shraddha di baat hai, Har man di manzil vich, shanti di saath hai.</b><br>Hindu pilgrimage to the Amarnath cave in Kashmir, a religious event unique to the region attracting devotees nationwide.","https://d3lzcn6mbbadaf.cloudfront.net/media/details/Amarnath2022081609141020220816184011.jpg"
Losar,Himachal Pradesh,February,"<b>Losar da din aaya, nayi roshni layi, Shanti te khushi naal, jeevan sajaya jai.</b><br>Tibetan Buddhist New Year celebrated mainly in Ladakh and Himachal Pradesh, unique to Himalayan Buddhist culture.","https://www.lchangnang.com/blog/wp-content/uploads/2023/11/Losar-Festival.webp"
Buddha Purnima,PAN India,November,"<b>Buddha di kirpa naal, man vich sukoon hove, Duniya di roshni vich, pyar hi chhaj jave.</b><br>Buddhist festival celebrating birth, enlightenment, and death of Buddha with prayers and feasts.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzLDhkLNS5_2f_ogXDqNENMXZ-Var_C-aApg&s"
Gurpurab,PAN India,November,"<b>Guru Nanak ji da charan, sadi zindagi da raah, Prem naal jeevan vich, mile sadaa saah.</b><br>Sikh festival marking Guru Nanak Dev Ji's birth anniversary, celebrated with prayers and community kitchens.","https://www.livemint.com/lm-img/img/2024/11/12/optimize/ANI-20231126332-0_1701048115735_1731401916725.jpg"
